Dataset,Distance,Method,Error,Baseline,Delta
MATH Competitio,0,Anchor-only,0.0303509026400719,0.033215608735731345,-0.0028647060956594438
MATH Competitio,1,Anchor-only,0.0273325597418139,0.033215608735731345,-0.005883048993917443
MATH Competitio,2,Anchor-only,0.0355165822777562,0.033215608735731345,0.0023009735420248534
MATH Competitio,0,IRT,0.0965147314854283,0.07197356963341571,0.02454116185201259
MATH Competitio,1,IRT,0.1230977518489066,0.07197356963341571,0.05112418221549089
MATH Competitio,2,IRT,0.0329302764409894,0.07197356963341571,-0.03904329319242631
MATH Competitio,0,GP-IRT,0.0257542867274082,0.027348963603387996,-0.0015946768759797954
MATH Competitio,1,GP-IRT,0.0284261076508148,0.027348963603387996,0.0010771440474268042
MATH Competitio,2,GP-IRT,0.0345375152611798,0.027348963603387996,0.0071885516577918016
MATH Competitio,0,P-IRT,0.0734109187322068,0.05875010277487629,0.014660815957330514
MATH Competitio,1,P-IRT,0.0935188370204212,0.05875010277487629,0.03476873424554491
MATH Competitio,2,P-IRT,0.0326407157917368,0.05875010277487629,-0.026109386983139485
NarrativeQA,0,Anchor-only,0.0245803671592704,0.023288977370559835,0.001291389788710566
NarrativeQA,1,Anchor-only,0.0183138555358069,0.023288977370559835,-0.004975121834752936
NarrativeQA,2,Anchor-only,0.0217697387829443,0.023288977370559835,-0.0015192385876155352
NarrativeQA,0,IRT,0.0499973720067784,0.06638207481065468,-0.01638470280387628
NarrativeQA,1,IRT,0.0535014840911307,0.06638207481065468,-0.01288059071952398
NarrativeQA,2,IRT,0.0992355665668192,0.06638207481065468,0.03285349175616452
NarrativeQA,0,GP-IRT,0.0232642946745794,0.02245195574797645,0.0008123389266029499
NarrativeQA,1,GP-IRT,0.0179042890602766,0.02245195574797645,-0.004547666687699851
NarrativeQA,2,GP-IRT,0.0209427721628925,0.02245195574797645,-0.0015091835850839508
NarrativeQA,0,P-IRT,0.0377171841987204,0.04745850066554536,-0.00974131646682496
NarrativeQA,1,P-IRT,0.0392178218659204,0.04745850066554536,-0.008240678799624965
NarrativeQA,2,P-IRT,0.0672536434136832,0.04745850066554536,0.019795142748137838
WMT-14 Translat,0,Anchor-only,0.0837949304439273,0.07934433776623005,0.004450592677697249
WMT-14 Translat,1,Anchor-only,0.079448429662421,0.07934433776623005,0.0001040918961909415
WMT-14 Translat,2,Anchor-only,0.0954342860509812,0.07934433776623005,0.016089948284751146
WMT-14 Translat,0,IRT,0.2308312860887061,0.18821300134652957,0.04261828474217652
WMT-14 Translat,1,IRT,0.2652434137397709,0.18821300134652957,0.07703041239324132
WMT-14 Translat,2,IRT,0.521179431212387,0.18821300134652957,0.3329664298658574
WMT-14 Translat,0,GP-IRT,0.0847489363443308,0.0799169628359841,0.004831973508346701
WMT-14 Translat,1,GP-IRT,0.0807242402321159,0.0799169628359841,0.000807277396131803
WMT-14 Translat,2,GP-IRT,0.0968936158558895,0.0799169628359841,0.016976653019905405
WMT-14 Translat,0,P-IRT,0.2275522894922379,0.1842448814033819,0.043307408088856
WMT-14 Translat,1,P-IRT,0.26146807847196,0.1842448814033819,0.07722319706857811
WMT-14 Translat,2,P-IRT,0.5163633645148623,0.1842448814033819,0.3321184831114804
