model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std,dataset
ai21/j1-grande-v2-beta,1,0.018,0.0,0.8,0.0,0.818,0.0,BLiMP
ai21/j1-jumbo,1,0.0807,0.0,0.74,0.0,0.8207,0.0,BLiMP
ai21/j2-large,1,0.0417,0.0,0.78,0.0,0.8217,0.0,BLiMP
cohere/command-xlarge-beta,1,0.104,0.0,0.9,0.0,0.796,0.0,BLiMP
cohere/small-20220720,1,0.0691,0.0,0.86,0.0,0.7909,0.0,BLiMP
openai/babbage,1,0.0285,0.0,0.86,0.0,0.8315,0.0,BLiMP
openai/text-davinci-003,1,0.0573,0.0,0.88,0.0,0.8227,0.0,BLiMP
AlephAlpha/luminous-base,1,0.0053,0.0,0.1713,0.0,0.1766,0.0,NaturalQA-Classic
ai21/j1-grande-v2-beta,1,0.0423,0.0,0.317,0.0,0.2748,0.0,NaturalQA-Classic
ai21/j1-jumbo,1,0.0277,0.0,0.2194,0.0,0.2471,0.0,NaturalQA-Classic
ai21/j2-large,1,0.017,0.0,0.2493,0.0,0.2324,0.0,NaturalQA-Classic
cohere/command-xlarge-beta,1,0.0254,0.0,0.2937,0.0,0.3191,0.0,NaturalQA-Classic
cohere/small-20220720,1,0.0109,0.0,0.0511,0.0,0.0619,0.0,NaturalQA-Classic
meta/llama-2-70b,1,0.1216,0.0,0.2937,0.0,0.4152,0.0,NaturalQA-Classic
meta/llama-65b,1,0.0418,0.0,0.3497,0.0,0.3915,0.0,NaturalQA-Classic
mosaicml/mpt-instruct-30b,1,0.0466,0.0,0.201,0.0,0.2476,0.0,NaturalQA-Classic
openai/babbage,1,0.0054,0.0,0.1023,0.0,0.0968,0.0,NaturalQA-Classic
openai/gpt-3.5-turbo-0613,1,0.0881,0.0,0.2062,0.0,0.2943,0.0,NaturalQA-Classic
openai/text-davinci-003,1,0.0185,0.0,0.3497,0.0,0.3683,0.0,NaturalQA-Classic
together/redpajama-incite-instruct-3b-v1,1,0.0061,0.0,0.175,0.0,0.1689,0.0,NaturalQA-Classic
together/t0pp,1,0.0156,0.0,0.0235,0.0,0.0391,0.0,NaturalQA-Classic
together/t5-11b,1,0.0569,0.0,0.1075,0.0,0.1645,0.0,NaturalQA-Classic
together/yalm,1,0.0303,0.0,0.0296,0.0,0.0598,0.0,NaturalQA-Classic
AlephAlpha/luminous-base,1,0.0227,0.0,0.46,0.0,0.4827,0.0,CivilComments
ai21/j1-grande-v2-beta,1,0.0014,0.0,0.74,0.0,0.7414,0.0,CivilComments
ai21/j1-jumbo,1,0.0154,0.0,0.4,0.0,0.3846,0.0,CivilComments
ai21/j2-large,1,0.04,0.0,0.6,0.0,0.64,0.0,CivilComments
cohere/command-xlarge-beta,1,0.0316,0.0,0.56,0.0,0.5916,0.0,CivilComments
cohere/small-20220720,1,0.0015,0.0,0.8,0.0,0.8015,0.0,CivilComments
meta/llama-2-70b,1,0.0037,0.0,0.54,0.0,0.5438,0.0,CivilComments
meta/llama-65b,1,0.0107,0.0,0.6,0.0,0.5893,0.0,CivilComments
mosaicml/mpt-instruct-30b,1,0.0271,0.0,0.32,0.0,0.3471,0.0,CivilComments
openai/babbage,1,0.0642,0.0,0.6,0.0,0.5358,0.0,CivilComments
openai/gpt-3.5-turbo-0613,1,0.0375,0.0,0.6,0.0,0.6375,0.0,CivilComments
openai/text-davinci-003,1,0.035,0.0,0.66,0.0,0.695,0.0,CivilComments
together/redpajama-incite-instruct-3b-v1,1,0.0379,0.0,0.78,0.0,0.8179,0.0,CivilComments
together/t0pp,1,0.0592,0.0,0.38,0.0,0.4392,0.0,CivilComments
together/t5-11b,1,0.0377,0.0,0.54,0.0,0.5777,0.0,CivilComments
