model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std,dataset
ai21/j2-grande,1,0.0736,0.0,0.14,0.0,0.0664,0.0,MATH Competition
amazon/nova-lite-v1:0,1,0.1699,0.0,0.98,0.0,0.8101,0.0,MATH Competition
anthropic/claude-3-5-sonnet-20240620,1,0.0739,0.0,0.9,0.0,0.8261,0.0,MATH Competition
anthropic/claude-3-haiku-20240307,1,0.0568,0.0,0.14,0.0,0.1968,0.0,MATH Competition
anthropic/claude-3-sonnet-20240229,1,0.007,0.0,0.08,0.0,0.087,0.0,MATH Competition
cohere/command-light,1,0.0007,0.0,0.1,0.0,0.1007,0.0,MATH Competition
cohere/command-r,1,0.0517,0.0,0.34,0.0,0.2883,0.0,MATH Competition
google/gemma-2-27b-it,1,0.1528,0.0,0.94,0.0,0.7872,0.0,MATH Competition
google/text-bison@001,1,0.0784,0.0,0.52,0.0,0.4416,0.0,MATH Competition
meta/llama-2-13b,1,0.1319,0.0,0.26,0.0,0.1281,0.0,MATH Competition
mistralai/mistral-large-2407,1,0.0192,0.0,0.74,0.0,0.7208,0.0,MATH Competition
mistralai/mixtral-8x7b-32kseqlen,1,0.1085,0.0,0.66,0.0,0.5515,0.0,MATH Competition
mistralai/open-mistral-nemo-2407,1,0.1192,0.0,0.84,0.0,0.7208,0.0,MATH Competition
openai/gpt-3.5-turbo-0613,1,0.1215,0.0,0.84,0.0,0.7185,0.0,MATH Competition
openai/gpt-4o-mini-2024-07-18,1,0.051,0.0,0.9,0.0,0.849,0.0,MATH Competition
qwen/qwen1.5-14b,1,0.0792,0.0,0.8,0.0,0.7208,0.0,MATH Competition
qwen/qwen1.5-32b,1,0.0135,0.0,0.76,0.0,0.7735,0.0,MATH Competition
qwen/qwen1.5-7b,1,0.1005,0.0,0.7,0.0,0.5995,0.0,MATH Competition
qwen/qwen2.5-72b-instruct-turbo,1,0.0538,0.0,0.96,0.0,0.9062,0.0,MATH Competition
snowflake/snowflake-arctic-instruct,1,0.1073,0.0,0.7,0.0,0.5927,0.0,MATH Competition
tiiuae/falcon-40b,1,0.0896,0.0,0.22,0.0,0.1304,0.0,MATH Competition
tiiuae/falcon-7b,1,0.0097,0.0,0.06,0.0,0.0503,0.0,MATH Competition
