Dataset,Distance,Method,Error,Baseline,Delta
NarrativeQA,0,Anchor-only,0.0150624064474575,0.016154351536768728,-0.0010919450893112272
NarrativeQA,1,Anchor-only,0.0164843492615673,0.016154351536768728,0.00032999772479857387
NarrativeQA,2,Anchor-only,0.0181603823198847,0.016154351536768728,0.0020060307831159738
NarrativeQA,0,IRT,0.0681247735063114,0.058147473788522294,0.009977299717789101
NarrativeQA,1,IRT,0.2299304798389018,0.058147473788522294,0.1717830060503795
NarrativeQA,2,IRT,0.0280776929257381,0.058147473788522294,-0.030069780862784196
NarrativeQA,0,GP-IRT,0.0150782165442738,0.016039550245795085,-0.0009613337015212855
NarrativeQA,1,GP-IRT,0.0163174916754599,0.016039550245795085,0.00027794142966481444
NarrativeQA,2,GP-IRT,0.0179793572002679,0.016039550245795085,0.0019398069544728155
NarrativeQA,0,P-IRT,0.0543517810230668,0.04450178888240384,0.009849992140662962
NarrativeQA,1,P-IRT,0.2046549826542419,0.04450178888240384,0.16015319377183806
NarrativeQA,2,P-IRT,0.0231296557946381,0.04450178888240384,-0.021372133087765737
WMT-14 Translat,0,Anchor-only,0.0909475748350191,0.08665235849537989,0.00429521633963921
WMT-14 Translat,1,Anchor-only,0.0901237373458848,0.08665235849537989,0.0034713788505049137
WMT-14 Translat,2,Anchor-only,0.0882589650639155,0.08665235849537989,0.001606606568535618
WMT-14 Translat,0,IRT,0.1225470644493649,0.15449502874744156,-0.031947964298076656
WMT-14 Translat,1,IRT,0.1924986878763804,0.15449502874744156,0.03800365912893883
WMT-14 Translat,2,IRT,0.2607636844722987,0.15449502874744156,0.10626865572485714
WMT-14 Translat,0,GP-IRT,0.091007923472854,0.08676976826500077,0.004238155207853228
WMT-14 Translat,1,GP-IRT,0.0913028625281702,0.08676976826500077,0.004533094263169432
WMT-14 Translat,2,GP-IRT,0.0886008116737746,0.08676976826500077,0.0018310434087738248
WMT-14 Translat,0,P-IRT,0.1212823954910637,0.1520503214680592,-0.030767925976995486
WMT-14 Translat,1,P-IRT,0.1912511455883948,0.1520503214680592,0.0392008241203356
WMT-14 Translat,2,P-IRT,0.2581826979012453,0.1520503214680592,0.10613237643318613
OpenBookQA,0,Anchor-only,0.019842412096921,0.02021989433412278,-0.00037748223720178095
OpenBookQA,1,Anchor-only,0.0238970668609947,0.02021989433412278,0.0036771725268719205
OpenBookQA,2,Anchor-only,0.0212430315175806,0.02021989433412278,0.0010231371834578187
OpenBookQA,0,IRT,0.248742911261088,0.039174222948125344,0.20956868831296266
OpenBookQA,1,IRT,0.055510263600522,0.039174222948125344,0.016336040652396654
OpenBookQA,2,IRT,0.0358828957585021,0.039174222948125344,-0.0032913271896232443
OpenBookQA,0,GP-IRT,0.0289994598394457,0.018263789479016204,0.010735670360429495
OpenBookQA,1,GP-IRT,0.0252455970797951,0.018263789479016204,0.006981807600778895
OpenBookQA,2,GP-IRT,0.0207245417134472,0.018263789479016204,0.0024607522344309955
OpenBookQA,0,P-IRT,0.2126403270179131,0.030884960510438854,0.18175536650747426
OpenBookQA,1,P-IRT,0.0505121115791643,0.030884960510438854,0.019627151068725444
OpenBookQA,2,P-IRT,0.0307468587698537,0.030884960510438854,-0.00013810174058515381
