Dataset,Distance,Method,Error,Baseline,Delta
LegalBench,0,Anchor-only,0.0264350239454204,0.03071717761547454,-0.004282153670054141
LegalBench,1,Anchor-only,0.0288003662059449,0.03071717761547454,-0.0019168114095296403
LegalBench,2,Anchor-only,0.0300810112876153,0.03071717761547454,-0.0006361663278592403
LegalBench,0,IRT,0.0982562482218274,0.04268361636226132,0.055572631859566075
LegalBench,1,IRT,0.1376947078849091,0.04268361636226132,0.09501109152264778
LegalBench,2,IRT,0.0805092205466714,0.04268361636226132,0.037825604184410076
LegalBench,0,GP-IRT,0.0377092088841814,0.03048817173729129,0.007221037146890114
LegalBench,1,GP-IRT,0.0453098299304293,0.03048817173729129,0.01482165819313801
LegalBench,2,GP-IRT,0.0286690946988904,0.03048817173729129,-0.001819077038400889
LegalBench,0,P-IRT,0.0922206040964835,0.041095906345381406,0.051124697751102094
LegalBench,1,P-IRT,0.1319771633510685,0.041095906345381406,0.09088125700568708
LegalBench,2,P-IRT,0.0770640631946045,0.041095906345381406,0.035968156849223096
NaturalQA,0,Anchor-only,0.0523351654743179,0.061292145907182925,-0.008956980432865025
NaturalQA,1,Anchor-only,0.0554269485682601,0.061292145907182925,-0.005865197338922823
NaturalQA,2,Anchor-only,0.0556490363352548,0.061292145907182925,-0.005643109571928123
NaturalQA,0,IRT,0.10801068381786,0.10324800433928799,0.004762679478572007
NaturalQA,1,IRT,0.1112515170920244,0.10324800433928799,0.008003512752736405
NaturalQA,2,IRT,0.1660108587199639,0.10324800433928799,0.06276285438067591
NaturalQA,0,GP-IRT,0.048933050510056,0.06448548433353823,-0.015552433823482231
NaturalQA,1,GP-IRT,0.0576539132618918,0.06448548433353823,-0.006831571071646433
NaturalQA,2,GP-IRT,0.0629754642035143,0.06448548433353823,-0.0015100201300239369
NaturalQA,0,P-IRT,0.0915144445060112,0.0997480643567385,-0.008233619850727292
NaturalQA,1,P-IRT,0.1023423458466134,0.0997480643567385,0.0025942814898749084
NaturalQA,2,P-IRT,0.1564581867671663,0.0997480643567385,0.056710122410427805
OpenBookQA,0,Anchor-only,0.0194614822928076,0.02284958013873679,-0.003388097845929191
OpenBookQA,1,Anchor-only,0.0216739686016794,0.02284958013873679,-0.0011756115370573916
OpenBookQA,2,Anchor-only,0.0214257028112449,0.02284958013873679,-0.0014238773274918917
OpenBookQA,0,IRT,0.0570041236112757,0.05847261179483074,-0.0014684881835550362
OpenBookQA,1,IRT,0.0845057581609275,0.05847261179483074,0.026033146366096757
OpenBookQA,2,IRT,0.2998757342619708,0.05847261179483074,0.24140312246714005
OpenBookQA,0,GP-IRT,0.0187448164855569,0.020840800295622616,-0.002095983810065715
OpenBookQA,1,GP-IRT,0.0224304873133376,0.020840800295622616,0.001589687017714985
OpenBookQA,2,GP-IRT,0.0223127535754808,0.020840800295622616,0.0014719532798581833
OpenBookQA,0,P-IRT,0.0571796914945133,0.048271014844639464,0.00890867664987384
OpenBookQA,1,P-IRT,0.0657906548528838,0.048271014844639464,0.017519640008244332
OpenBookQA,2,P-IRT,0.2552776249269106,0.048271014844639464,0.20700661008227111
