model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std,dataset
AlephAlpha/luminous-base,1,0.0986,0.0,0.4851,0.0,0.5837,0.0,NarrativeQA-Classic
ai21/j1-jumbo,1,0.086,0.0,0.7797,0.0,0.6938,0.0,NarrativeQA-Classic
anthropic/stanford-online-all-v4-s3,1,0.057,0.0,0.8094,0.0,0.7524,0.0,NarrativeQA-Classic
cohere/large-20220720,1,0.0068,0.0,0.5807,0.0,0.5876,0.0,NarrativeQA-Classic
cohere/medium-20220720,1,0.0105,0.0,0.5223,0.0,0.5327,0.0,NarrativeQA-Classic
cohere/xlarge-20220609,1,0.0658,0.0,0.5334,0.0,0.5992,0.0,NarrativeQA-Classic
meta/llama-2-7b,1,0.0183,0.0,0.7253,0.0,0.707,0.0,NarrativeQA-Classic
microsoft/TNLGv2_7B,1,0.0391,0.0,0.6513,0.0,0.6122,0.0,NarrativeQA-Classic
mosaicml/mpt-instruct-30b,1,0.0004,0.0,0.7392,0.0,0.7389,0.0,NarrativeQA-Classic
openai/ada,1,0.0222,0.0,0.3557,0.0,0.3336,0.0,NarrativeQA-Classic
openai/text-babbage-001,1,0.0448,0.0,0.4586,0.0,0.4138,0.0,NarrativeQA-Classic
stanford/alpaca-7b,1,0.0533,0.0,0.4575,0.0,0.4042,0.0,NarrativeQA-Classic
together/opt-175b,1,0.0213,0.0,0.6819,0.0,0.6606,0.0,NarrativeQA-Classic
together/ul2,1,0.0014,0.0,0.076,0.0,0.0774,0.0,NarrativeQA-Classic
together/yalm,1,0.0656,0.0,0.1557,0.0,0.2213,0.0,NarrativeQA-Classic
writer/palmyra-x,1,0.0549,0.0,0.7991,0.0,0.7442,0.0,NarrativeQA-Classic
