model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
AlephAlpha/luminous-base,1,0.0134,0.0,0.1631,0.0,0.1766,0.0
ai21/j1-grande-v2-beta,1,0.0095,0.0,0.2653,0.0,0.2748,0.0
ai21/j1-jumbo,1,0.0409,0.0,0.2062,0.0,0.2471,0.0
ai21/j2-large,1,0.0319,0.0,0.2004,0.0,0.2324,0.0
anthropic/stanford-online-all-v4-s3,1,0.0092,0.0,0.2503,0.0,0.2411,0.0
cohere/command-xlarge-beta,1,0.0503,0.0,0.2689,0.0,0.3191,0.0
cohere/xlarge-20221108,1,0.0293,0.0,0.2944,0.0,0.3237,0.0
lmsys/vicuna-7b-v1.3,1,0.0173,0.0,0.2266,0.0,0.2439,0.0
microsoft/TNLGv2_530B,1,0.0349,0.0,0.2814,0.0,0.3162,0.0
microsoft/TNLGv2_7B,1,0.0036,0.0,0.1588,0.0,0.1624,0.0
mosaicml/mpt-30b,1,0.0131,0.0,0.2827,0.0,0.2959,0.0
openai/text-babbage-001,1,0.0243,0.0,0.0381,0.0,0.0624,0.0
openai/text-davinci-003,1,0.0045,0.0,0.3637,0.0,0.3683,0.0
together/bloom,1,0.0183,0.0,0.1877,0.0,0.206,0.0
together/opt-175b,1,0.0045,0.0,0.2538,0.0,0.2493,0.0
together/redpajama-incite-base-3b-v1,1,0.0518,0.0,0.1085,0.0,0.1602,0.0
writer/palmyra-x,1,0.0306,0.0,0.3369,0.0,0.3675,0.0
