Dataset,Distance,Method,Error,Baseline,Delta
WMT-14 Translat,0,Anchor-only,0.0854323927836718,0.08431715745310263,0.0011152353305691753
WMT-14 Translat,1,Anchor-only,0.0905068453037654,0.08431715745310263,0.006189687850662776
WMT-14 Translat,2,Anchor-only,0.0978794347563239,0.08431715745310263,0.013562277303221265
WMT-14 Translat,0,IRT,0.1396334929868208,0.5359385556281316,-0.3963050626413108
WMT-14 Translat,1,IRT,0.2130434999840273,0.5359385556281316,-0.32289505564410437
WMT-14 Translat,2,IRT,0.1969091859848966,0.5359385556281316,-0.33902936964323505
WMT-14 Translat,0,GP-IRT,0.0864966798535382,0.08740162573842951,-0.0009049458848913033
WMT-14 Translat,1,GP-IRT,0.091943000875031,0.08740162573842951,0.004541375136601494
WMT-14 Translat,2,GP-IRT,0.098677013910513,0.08740162573842951,0.011275388172083498
WMT-14 Translat,0,P-IRT,0.1366511294684064,0.5300948707902294,-0.393443741321823
WMT-14 Translat,1,P-IRT,0.2128201795226665,0.5300948707902294,-0.3172746912675629
WMT-14 Translat,2,P-IRT,0.1937879009414342,0.5300948707902294,-0.33630696984879527
MATH Competitio,0,Anchor-only,0.0336798590740185,0.028378912251437623,0.005300946822580876
MATH Competitio,1,Anchor-only,0.0223548704774955,0.028378912251437623,-0.006024041773942123
MATH Competitio,2,Anchor-only,0.0373876590522613,0.028378912251437623,0.00900874680082368
MATH Competitio,0,IRT,0.2884859295473245,0.10274810955877657,0.18573781998854794
MATH Competitio,1,IRT,0.3002333476324466,0.10274810955877657,0.19748523807367002
MATH Competitio,2,IRT,0.0571495699513887,0.10274810955877657,-0.04559853960738787
MATH Competitio,0,GP-IRT,0.0310922295756564,0.02562844209876328,0.00546378747689312
MATH Competitio,1,GP-IRT,0.0376463875255462,0.02562844209876328,0.01201794542678292
MATH Competitio,2,GP-IRT,0.0367526877505259,0.02562844209876328,0.011124245651762617
MATH Competitio,0,P-IRT,0.2127726152109467,0.08344230903831734,0.12933030617262936
MATH Competitio,1,P-IRT,0.2210570838843048,0.08344230903831734,0.13761477484598747
MATH Competitio,2,P-IRT,0.0544043707743596,0.08344230903831734,-0.029037938263957744
LegalBench,0,Anchor-only,0.0274688686360965,0.02558084245607909,0.0018880261800174082
LegalBench,1,Anchor-only,0.046090297224077,0.02558084245607909,0.02050945476799791
LegalBench,2,Anchor-only,0.0299130301273567,0.02558084245607909,0.004332187671277608
LegalBench,0,IRT,0.0482074345203726,0.07021884243963862,-0.02201140791926602
LegalBench,1,IRT,0.1198745627437402,0.07021884243963862,0.04965572030410158
LegalBench,2,IRT,0.0410201206421074,0.07021884243963862,-0.02919872179753122
LegalBench,0,GP-IRT,0.0260517343168844,0.03613470306732764,-0.01008296875044324
LegalBench,1,GP-IRT,0.0546465853779316,0.03613470306732764,0.01851188231060396
LegalBench,2,GP-IRT,0.0210465346037523,0.03613470306732764,-0.01508816846357534
LegalBench,0,P-IRT,0.046232655000058,0.06841644857101059,-0.02218379357095259
LegalBench,1,P-IRT,0.1149192042912115,0.06841644857101059,0.046502755720200906
LegalBench,2,P-IRT,0.0388103500017745,0.06841644857101059,-0.029606098569236093
