Dataset,Distance,Method,Error,Baseline,Delta
LegalBench,0,Anchor-only,0.0248763803011832,0.026665837266552896,-0.0017894569653696957
LegalBench,1,Anchor-only,0.0321849054295724,0.026665837266552896,0.005519068163019503
LegalBench,2,Anchor-only,0.0381556402052952,0.026665837266552896,0.011489802938742306
LegalBench,0,IRT,0.0445135464643813,0.04585031977365768,-0.0013367733092763817
LegalBench,1,IRT,0.0485421112834853,0.04585031977365768,0.0026917915098276166
LegalBench,2,IRT,0.3000302832476318,0.04585031977365768,0.25417996347397415
LegalBench,0,GP-IRT,0.0227953075974308,0.024025449930716414,-0.0012301423332856144
LegalBench,1,GP-IRT,0.0335613679087548,0.024025449930716414,0.009535917978038388
LegalBench,2,GP-IRT,0.1666718154446472,0.024025449930716414,0.14264636551393078
LegalBench,0,P-IRT,0.0421723272057422,0.044403621147233424,-0.0022312939414912275
LegalBench,1,P-IRT,0.0468915037002097,0.044403621147233424,0.0024878825529762727
LegalBench,2,P-IRT,0.2893668782667109,0.044403621147233424,0.2449632571194775
MedQA,0,Anchor-only,0.0285070140280561,0.03125396247039531,-0.0027469484423392095
MedQA,1,Anchor-only,0.0261506649662962,0.03125396247039531,-0.005103297504099109
MedQA,2,Anchor-only,0.0374904354162871,0.03125396247039531,0.006236472945891788
MedQA,0,IRT,0.1298931696390708,0.038045773767573184,0.09184739587149762
MedQA,1,IRT,0.1180145314272322,0.038045773767573184,0.07996875765965902
MedQA,2,IRT,0.0944042571195669,0.038045773767573184,0.05635848335199372
MedQA,0,GP-IRT,0.0310917347259984,0.030597536533225347,0.0004941981927730522
MedQA,1,GP-IRT,0.0316817788887032,0.030597536533225347,0.0010842423554778546
MedQA,2,GP-IRT,0.0363835058263725,0.030597536533225347,0.005785969293147154
MedQA,0,P-IRT,0.1167929114007977,0.036198505360441974,0.08059440604035573
MedQA,1,P-IRT,0.1069025763535988,0.036198505360441974,0.07070407099315683
MedQA,2,P-IRT,0.0776352587489278,0.036198505360441974,0.04143675338848582
OpenBookQA,0,Anchor-only,0.0220814165753924,0.024075575027382258,-0.001994158451989858
OpenBookQA,1,Anchor-only,0.0238514056224899,0.024075575027382258,-0.00022416940489235898
OpenBookQA,2,Anchor-only,0.0159529025191675,0.024075575027382258,-0.00812267250821476
OpenBookQA,0,IRT,0.0223837978253072,0.04345509061949076,-0.021071292794183558
OpenBookQA,1,IRT,0.041061341455365,0.04345509061949076,-0.002393749164125762
OpenBookQA,2,IRT,0.1690346988380319,0.04345509061949076,0.12557960821854114
OpenBookQA,0,GP-IRT,0.0206033428554918,0.02301553135857086,-0.00241218850307906
OpenBookQA,1,GP-IRT,0.0222369190982276,0.02301553135857086,-0.0007786122603432588
OpenBookQA,2,GP-IRT,0.015521350621352,0.02301553135857086,-0.0074941807372188585
OpenBookQA,0,P-IRT,0.0176874252232621,0.036531568235186156,-0.018844143011924056
OpenBookQA,1,P-IRT,0.0468004671106132,0.036531568235186156,0.010268898875427042
OpenBookQA,2,P-IRT,0.1545087976967581,0.036531568235186156,0.11797722946157194
