model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
01-ai/yi-large-preview,1,0.057,0.0,0.4847,0.0,0.4277,0.0
AlephAlpha/luminous-extended,1,0.0389,0.0,0.214,0.0,0.2529,0.0
AlephAlpha/luminous-supreme,1,0.0256,0.0,0.2737,0.0,0.2992,0.0
ai21/j2-jumbo,1,0.0378,0.0,0.4231,0.0,0.3853,0.0
ai21/jamba-1.5-large,1,0.0426,0.0,0.4363,0.0,0.3937,0.0
anthropic/claude-3-5-sonnet-20240620,1,0.025,0.0,0.5266,0.0,0.5016,0.0
anthropic/claude-3-haiku-20240307,1,0.0828,0.0,0.2265,0.0,0.1437,0.0
deepseek-ai/deepseek-v3,1,0.0308,0.0,0.4362,0.0,0.467,0.0
google/gemini-1.5-flash-001,1,0.054,0.0,0.3864,0.0,0.3324,0.0
google/gemini-1.5-flash-002,1,0.0268,0.0,0.3496,0.0,0.3228,0.0
google/gemini-1.5-pro-002,1,0.0268,0.0,0.4287,0.0,0.4555,0.0
meta/llama-2-13b,1,0.0411,0.0,0.4117,0.0,0.3706,0.0
meta/llama-3-70b,1,0.0,0.0,0.4752,0.0,0.4753,0.0
meta/llama-3.1-70b-instruct-turbo,1,0.0391,0.0,0.4126,0.0,0.4517,0.0
meta/llama-65b,1,0.0387,0.0,0.3939,0.0,0.4326,0.0
microsoft/phi-3-small-8k-instruct,1,0.0167,0.0,0.3404,0.0,0.3237,0.0
mistralai/mistral-7b-v0.1,1,0.0003,0.0,0.3673,0.0,0.367,0.0
openai/gpt-3.5-turbo-0613,1,0.0178,0.0,0.3168,0.0,0.3346,0.0
openai/gpt-4o-mini-2024-07-18,1,0.0703,0.0,0.4558,0.0,0.3855,0.0
qwen/qwen1.5-110b-chat,1,0.0496,0.0,0.3995,0.0,0.3499,0.0
qwen/qwen1.5-32b,1,0.0434,0.0,0.31,0.0,0.3534,0.0
qwen/qwen2-72b-instruct,1,0.0509,0.0,0.4406,0.0,0.3897,0.0
