model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
01-ai/yi-34b,1,0.0204,0.0,0.1353,0.0,0.1557,0.0
anthropic/claude-3-haiku-20240307,1,0.0145,0.0,0.1154,0.0,0.1299,0.0
anthropic/claude-3-sonnet-20240229,1,0.0019,0.0,0.1931,0.0,0.195,0.0
anthropic/claude-v1.3,1,0.0062,0.0,0.2007,0.0,0.1945,0.0
cohere/command-r,1,0.0319,0.0,0.0989,0.0,0.1309,0.0
deepseek-ai/deepseek-llm-67b-chat,1,0.0174,0.0,0.1519,0.0,0.1693,0.0
google/gemma-2-27b-it,1,0.0145,0.0,0.2062,0.0,0.1917,0.0
meta/llama-3.1-405b-instruct-turbo,1,0.0122,0.0,0.1968,0.0,0.209,0.0
meta/llama-3.1-70b-instruct-turbo,1,0.037,0.0,0.2349,0.0,0.1979,0.0
meta/llama-3.1-8b-instruct-turbo,1,0.0063,0.0,0.1537,0.0,0.16,0.0
meta/llama-3.2-11b-vision-instruct-turbo,1,0.0085,0.0,0.1498,0.0,0.1583,0.0
meta/llama-3.2-90b-vision-instruct-turbo,1,0.0269,0.0,0.2252,0.0,0.1983,0.0
microsoft/phi-2,1,0.0079,0.0,0.0291,0.0,0.037,0.0
mistralai/mixtral-8x7b-32kseqlen,1,0.0165,0.0,0.1876,0.0,0.1711,0.0
mistralai/open-mistral-nemo-2407,1,0.0037,0.0,0.1571,0.0,0.1607,0.0
openai/gpt-4o-2024-08-06,1,0.0142,0.0,0.2157,0.0,0.2016,0.0
openai/text-davinci-002,1,0.0209,0.0,0.1365,0.0,0.1574,0.0
qwen/qwen2.5-72b-instruct-turbo,1,0.0212,0.0,0.1647,0.0,0.1858,0.0
qwen/qwen2.5-7b-instruct-turbo,1,0.014,0.0,0.1275,0.0,0.1415,0.0
snowflake/snowflake-arctic-instruct,1,0.0025,0.0,0.1529,0.0,0.1554,0.0
tiiuae/falcon-7b,1,0.001,0.0,0.085,0.0,0.084,0.0
writer/palmyra-x-v2,1,0.0131,0.0,0.1987,0.0,0.2119,0.0
