Dataset,Distance,Method,Error,Baseline,Delta
MATH Competitio,0,Anchor-only,0.0382450669226643,0.023079396827638595,0.015165670095025705
MATH Competitio,1,Anchor-only,0.0343077660063783,0.023079396827638595,0.011228369178739702
MATH Competitio,2,Anchor-only,0.02682489030714,0.023079396827638595,0.0037454934795014064
MATH Competitio,0,IRT,0.0825806808937079,0.0764567915107527,0.006123889382955203
MATH Competitio,1,IRT,0.1564576890391997,0.0764567915107527,0.08000089752844701
MATH Competitio,2,IRT,0.0882038715296486,0.0764567915107527,0.011747080018895906
MATH Competitio,0,GP-IRT,0.0343551192207118,0.02121460532921738,0.01314051389149442
MATH Competitio,1,GP-IRT,0.0388491156483828,0.02121460532921738,0.017634510319165422
MATH Competitio,2,GP-IRT,0.0241947554223375,0.02121460532921738,0.00298015009312012
MATH Competitio,0,P-IRT,0.0682147423063088,0.061398189324817,0.006816552981491808
MATH Competitio,1,P-IRT,0.1333550335313464,0.061398189324817,0.0719568442065294
MATH Competitio,2,P-IRT,0.0708210994948542,0.061398189324817,0.0094229101700372
MedQA,0,Anchor-only,0.0274130078338495,0.02888577154308617,-0.0014727637092366713
MedQA,1,Anchor-only,0.0287567862998724,0.02888577154308617,-0.00012898524321377017
MedQA,2,Anchor-only,0.0220032792858444,0.02888577154308617,-0.00688249225724177
MedQA,0,IRT,0.0543053335786776,0.0396918447957523,0.014613488782925302
MedQA,1,IRT,0.0515472297374108,0.0396918447957523,0.011855384941658498
MedQA,2,IRT,0.0541474696880154,0.0396918447957523,0.014455624892263097
MedQA,0,GP-IRT,0.0259534247805634,0.027744838161341843,-0.0017914133807784421
MedQA,1,GP-IRT,0.0287546465920597,0.027744838161341843,0.0010098084307178581
MedQA,2,GP-IRT,0.0228077507378113,0.027744838161341843,-0.004937087423530544
MedQA,0,P-IRT,0.0488363064915478,0.037346798172988555,0.011489508318559244
MedQA,1,P-IRT,0.0482340956847177,0.037346798172988555,0.010887297511729142
MedQA,2,P-IRT,0.0547642669148176,0.037346798172988555,0.017417468741829048
OpenBookQA,0,Anchor-only,0.0199974443227454,0.019952902519167554,4.454180357784526e-05
OpenBookQA,1,Anchor-only,0.0180135085797736,0.019952902519167554,-0.0019393939393939526
OpenBookQA,2,Anchor-only,0.0222347572106608,0.019952902519167554,0.0022818546914932444
OpenBookQA,0,IRT,0.1419657010390363,0.038840564115159695,0.1031251369238766
OpenBookQA,1,IRT,0.0736594178616343,0.038840564115159695,0.0348188537464746
OpenBookQA,2,IRT,0.0420545779904385,0.038840564115159695,0.0032140138752788025
OpenBookQA,0,GP-IRT,0.0175836659949997,0.018001885045476024,-0.00041821905047632543
OpenBookQA,1,GP-IRT,0.0147007009250129,0.018001885045476024,-0.0033011841204631243
OpenBookQA,2,GP-IRT,0.021918133057245,0.018001885045476024,0.003916248011768975
OpenBookQA,0,P-IRT,0.1263287202090333,0.03137752308307542,0.09495119712595787
OpenBookQA,1,P-IRT,0.0548198502222459,0.03137752308307542,0.02344232713917048
OpenBookQA,2,P-IRT,0.0347424299258542,0.03137752308307542,0.003364906842778778
