model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
AlephAlpha/luminous-extended,1,0.0209,0.0,0.2335,0.0,0.2127,0.0
AlephAlpha/luminous-supreme,1,0.0762,0.0,0.3258,0.0,0.2496,0.0
ai21/j1-grande,1,0.0975,0.0,0.2986,0.0,0.2011,0.0
ai21/j1-large,1,0.0003,0.0,0.1533,0.0,0.153,0.0
ai21/j2-grande,1,0.0554,0.0,0.35,0.0,0.2947,0.0
ai21/j2-jumbo,1,0.0677,0.0,0.4097,0.0,0.3421,0.0
cohere/command-medium-beta,1,0.0048,0.0,0.2003,0.0,0.1955,0.0
cohere/large-20220720,1,0.0169,0.0,0.2158,0.0,0.1988,0.0
cohere/medium-20220720,1,0.0621,0.0,0.0695,0.0,0.1316,0.0
cohere/medium-20221108,1,0.0293,0.0,0.1398,0.0,0.1692,0.0
cohere/small-20220720,1,0.0064,0.0,0.0684,0.0,0.0619,0.0
cohere/xlarge-20220609,1,0.0177,0.0,0.2908,0.0,0.2731,0.0
eleutherai/pythia-12b-v0,1,0.015,0.0,0.1297,0.0,0.1448,0.0
eleutherai/pythia-6.9b,1,0.0189,0.0,0.0989,0.0,0.1178,0.0
lmsys/vicuna-13b-v1.3,1,0.0148,0.0,0.2963,0.0,0.2814,0.0
meta/llama-13b,1,0.0592,0.0,0.3532,0.0,0.294,0.0
meta/llama-2-13b,1,0.0519,0.0,0.3735,0.0,0.3216,0.0
meta/llama-2-70b,1,0.0401,0.0,0.4554,0.0,0.4152,0.0
meta/llama-2-7b,1,0.0659,0.0,0.3392,0.0,0.2733,0.0
meta/llama-30b,1,0.0388,0.0,0.4112,0.0,0.3724,0.0
meta/llama-65b,1,0.0454,0.0,0.4369,0.0,0.3915,0.0
meta/llama-7b,1,0.0203,0.0,0.274,0.0,0.2537,0.0
mistralai/mistral-7b-v0.1,1,0.0179,0.0,0.3349,0.0,0.3169,0.0
mosaicml/mpt-instruct-30b,1,0.0151,0.0,0.2627,0.0,0.2476,0.0
openai/ada,1,0.0185,0.0,0.047,0.0,0.0655,0.0
openai/babbage,1,0.0298,0.0,0.0671,0.0,0.0968,0.0
openai/curie,1,0.0278,0.0,0.2005,0.0,0.1727,0.0
openai/davinci,1,0.0042,0.0,0.2837,0.0,0.2795,0.0
openai/gpt-3.5-turbo-0301,1,0.0623,0.0,0.3988,0.0,0.3365,0.0
openai/gpt-3.5-turbo-0613,1,0.0528,0.0,0.3471,0.0,0.2943,0.0
openai/text-ada-001,1,0.0166,0.0,0.04,0.0,0.0234,0.0
openai/text-curie-001,1,0.0086,0.0,0.1252,0.0,0.1338,0.0
openai/text-davinci-002,1,0.0384,0.0,0.3551,0.0,0.3167,0.0
stanford/alpaca-7b,1,0.0251,0.0,0.2078,0.0,0.2329,0.0
tiiuae/falcon-40b,1,0.0011,0.0,0.3439,0.0,0.345,0.0
tiiuae/falcon-40b-instruct,1,0.0018,0.0,0.3481,0.0,0.3498,0.0
tiiuae/falcon-7b,1,0.0516,0.0,0.3008,0.0,0.2492,0.0
tiiuae/falcon-7b-instruct,1,0.019,0.0,0.1503,0.0,0.1693,0.0
together/glm,1,0.0465,0.0,0.166,0.0,0.1195,0.0
together/gpt-j-6b,1,0.0379,0.0,0.081,0.0,0.1188,0.0
together/gpt-neox-20b,1,0.0054,0.0,0.156,0.0,0.1614,0.0
together/opt-66b,1,0.02,0.0,0.2452,0.0,0.2252,0.0
together/redpajama-incite-base-7b,1,0.0275,0.0,0.1785,0.0,0.206,0.0
together/redpajama-incite-instruct-3b-v1,1,0.0064,0.0,0.1753,0.0,0.1689,0.0
together/redpajama-incite-instruct-7b,1,0.0172,0.0,0.1993,0.0,0.1821,0.0
together/t0pp,1,0.0213,0.0,0.0178,0.0,0.0391,0.0
together/t5-11b,1,0.0355,0.0,0.2,0.0,0.1645,0.0
together/ul2,1,0.0389,0.0,0.215,0.0,0.1762,0.0
together/yalm,1,0.022,0.0,0.0379,0.0,0.0598,0.0
writer/palmyra-instruct-30,1,0.0116,0.0,0.2699,0.0,0.2815,0.0
