Dataset,Distance,Method,Error,Baseline,Delta
LegalBench,0,Anchor-only,0.0304556125701993,0.030296539099132432,0.0001590734710668687
LegalBench,1,Anchor-only,0.0233403885491506,0.030296539099132432,-0.006956150549981832
LegalBench,2,Anchor-only,0.0345753018946612,0.030296539099132432,0.00427876279552877
LegalBench,0,IRT,0.0571876935317843,0.07772370560998323,-0.020536012078198933
LegalBench,1,IRT,0.4038698534914258,0.07772370560998323,0.3261461478814426
LegalBench,2,IRT,0.2222487876350119,0.07772370560998323,0.14452508202502867
LegalBench,0,GP-IRT,0.0357677445137872,0.035854070121688134,-8.632560790093613e-05
LegalBench,1,GP-IRT,0.0280628803464662,0.035854070121688134,-0.007791189775221932
LegalBench,2,GP-IRT,0.0331918830624053,0.035854070121688134,-0.002662187059282832
LegalBench,0,P-IRT,0.055758406981788,0.07585760603510144,-0.020099199053313442
LegalBench,1,P-IRT,0.3873434511545204,0.07585760603510144,0.31148584511941896
LegalBench,2,P-IRT,0.2115486505854829,0.07585760603510144,0.13569104455038145
MATH Competitio,0,Anchor-only,0.016605418703229,0.023101583508759186,-0.006496164805530186
MATH Competitio,1,Anchor-only,0.0240818531079484,0.023101583508759186,0.0009802695991892145
MATH Competitio,2,Anchor-only,0.0281978403055177,0.023101583508759186,0.005096256796758514
MATH Competitio,0,IRT,0.0809476123429183,0.10142598101187036,-0.02047836866895207
MATH Competitio,1,IRT,0.088537172577756,0.10142598101187036,-0.012888808434114371
MATH Competitio,2,IRT,0.1340909334164044,0.10142598101187036,0.03266495240453404
MATH Competitio,0,GP-IRT,0.0184480041154135,0.025405286531599167,-0.006957282416185668
MATH Competitio,1,GP-IRT,0.0249042657268475,0.025405286531599167,-0.0005010208047516659
MATH Competitio,2,GP-IRT,0.0306640731754952,0.025405286531599167,0.005258786643896035
MATH Competitio,0,P-IRT,0.0625379699753356,0.07941274627660143,-0.016874776301265826
MATH Competitio,1,P-IRT,0.0712062788458458,0.07941274627660143,-0.008206467430755635
MATH Competitio,2,P-IRT,0.1066791603232867,0.07941274627660143,0.02726641404668527
WMT-14 Translat,0,Anchor-only,0.0793850674981447,0.08212770403143155,-0.002742636533286852
WMT-14 Translat,1,Anchor-only,0.0879842270923628,0.08212770403143155,0.0058565230609312485
WMT-14 Translat,2,Anchor-only,0.0654811905836332,0.08212770403143155,-0.016646513447798342
WMT-14 Translat,0,IRT,0.141247423227016,0.5337281305096909,-0.3924807072826749
WMT-14 Translat,1,IRT,0.0978749936915127,0.5337281305096909,-0.4358531368181782
WMT-14 Translat,2,IRT,0.2085623703884711,0.5337281305096909,-0.3251657601212198
WMT-14 Translat,0,GP-IRT,0.0795829606236934,0.08330852973222232,-0.00372556910852892
WMT-14 Translat,1,GP-IRT,0.0880283573108514,0.08330852973222232,0.004719827578629085
WMT-14 Translat,2,GP-IRT,0.0658313915005482,0.08330852973222232,-0.017477138231674114
WMT-14 Translat,0,P-IRT,0.1387733707270476,0.5273888496558462,-0.3886154789287986
WMT-14 Translat,1,P-IRT,0.0972263536623059,0.5273888496558462,-0.4301624959935403
WMT-14 Translat,2,P-IRT,0.2046596994756739,0.5273888496558462,-0.32272915018017234
