Dataset,Distance,Method,Error,Baseline,Delta
NaturalQA,0,Anchor-only,0.0500623994160094,0.0730981020065582,-0.023035702590548796
NaturalQA,1,Anchor-only,0.0719214143800116,0.0730981020065582,-0.001176687626546602
NaturalQA,2,Anchor-only,0.0796815259807348,0.0730981020065582,0.006583423974176605
NaturalQA,0,IRT,0.1713607132325217,0.08316084014368648,0.08819987308883522
NaturalQA,1,IRT,0.031631233194965,0.08316084014368648,-0.05152960694872148
NaturalQA,2,IRT,0.1923021223405797,0.08316084014368648,0.10914128219689322
NaturalQA,0,GP-IRT,0.0508219036599611,0.07297652759959289,-0.022154623939631787
NaturalQA,1,GP-IRT,0.0676525110873435,0.07297652759959289,-0.005324016512249383
NaturalQA,2,GP-IRT,0.0893406094089669,0.07297652759959289,0.016364081809374015
NaturalQA,0,P-IRT,0.161118780393869,0.08150696544818471,0.0796118149456843
NaturalQA,1,P-IRT,0.0305875348934029,0.08150696544818471,-0.05091943055478181
NaturalQA,2,P-IRT,0.1815480804081507,0.08150696544818471,0.100041114959966
NarrativeQA,0,Anchor-only,0.0288574111941325,0.012073860153712897,0.016783551040419606
NarrativeQA,1,Anchor-only,0.0139946193332458,0.012073860153712897,0.0019207591795329035
NarrativeQA,2,Anchor-only,0.0274494588563478,0.012073860153712897,0.015375598702634904
NarrativeQA,0,IRT,0.0430732285579938,0.06949992321028371,-0.02642669465228991
NarrativeQA,1,IRT,0.0544788802918631,0.06949992321028371,-0.015021042918420616
NarrativeQA,2,IRT,0.3005109514302057,0.06949992321028371,0.23101102821992198
NarrativeQA,0,GP-IRT,0.0276366255194547,0.012120377853312237,0.015516247666142463
NarrativeQA,1,GP-IRT,0.0138204877926788,0.012120377853312237,0.0017001099393665637
NarrativeQA,2,GP-IRT,0.0244962135045675,0.012120377853312237,0.012375835651255265
NarrativeQA,0,P-IRT,0.0459704017167483,0.05256620479931903,-0.006595803082570732
NarrativeQA,1,P-IRT,0.0427632778251581,0.05256620479931903,-0.009802926974160936
NarrativeQA,2,P-IRT,0.259469875806237,0.05256620479931903,0.20690367100691795
MATH Competitio,0,Anchor-only,0.0292158034059656,0.032760901055990624,-0.003545097650025024
MATH Competitio,1,Anchor-only,0.03667887808872,0.032760901055990624,0.003917977032729378
MATH Competitio,2,Anchor-only,0.0314141933686157,0.032760901055990624,-0.0013467076873749234
MATH Competitio,0,IRT,0.0728452889335618,0.06588484242871315,0.006960446504848658
MATH Competitio,1,IRT,0.1007950459595845,0.06588484242871315,0.03491020353087135
MATH Competitio,2,IRT,0.0913659246231081,0.06588484242871315,0.025481082194394947
MATH Competitio,0,GP-IRT,0.0294452897394655,0.03042036810012598,-0.0009750783606604814
MATH Competitio,1,GP-IRT,0.032537122728837,0.03042036810012598,0.002116754628711019
MATH Competitio,2,GP-IRT,0.0332755273122877,0.03042036810012598,0.0028551592121617217
MATH Competitio,0,P-IRT,0.0564605614884608,0.0531814565548191,0.0032791049336416966
MATH Competitio,1,P-IRT,0.0810086492296246,0.0531814565548191,0.027827192674805497
MATH Competitio,2,P-IRT,0.0760502791635483,0.0531814565548191,0.022868822608729196
