model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
AlephAlpha/luminous-base,1,0.0795,0.0,0.0971,0.0,0.1766,0.0
ai21/j1-grande-v2-beta,1,0.0441,0.0,0.2307,0.0,0.2748,0.0
ai21/j1-jumbo,1,0.0019,0.0,0.249,0.0,0.2471,0.0
ai21/j2-large,1,0.0352,0.0,0.1972,0.0,0.2324,0.0
cohere/command-xlarge-beta,1,0.0338,0.0,0.2853,0.0,0.3191,0.0
cohere/small-20220720,1,0.0305,0.0,0.0314,0.0,0.0619,0.0
meta/llama-2-70b,1,0.0305,0.0,0.3847,0.0,0.4152,0.0
meta/llama-65b,1,0.0433,0.0,0.3482,0.0,0.3915,0.0
mosaicml/mpt-instruct-30b,1,0.0093,0.0,0.2383,0.0,0.2476,0.0
openai/babbage,1,0.0161,0.0,0.0807,0.0,0.0968,0.0
openai/gpt-3.5-turbo-0613,1,0.0334,0.0,0.3278,0.0,0.2943,0.0
openai/text-davinci-003,1,0.0816,0.0,0.2867,0.0,0.3683,0.0
together/redpajama-incite-instruct-3b-v1,1,0.04,0.0,0.1288,0.0,0.1689,0.0
together/t0pp,1,0.0091,0.0,0.0482,0.0,0.0391,0.0
together/t5-11b,1,0.0005,0.0,0.165,0.0,0.1645,0.0
together/yalm,1,0.0165,0.0,0.0433,0.0,0.0598,0.0
