Dataset,Distance,Method,Error,Baseline,Delta
OpenBookQA,0,Anchor-only,0.0154259427946802,0.01634159227546002,-0.0009156494807798215
OpenBookQA,1,Anchor-only,0.0166378210967389,0.01634159227546002,0.0002962288212788773
OpenBookQA,2,Anchor-only,0.0222428493350336,0.01634159227546002,0.005901257059573579
OpenBookQA,0,IRT,0.3042913844349688,0.05296080373129746,0.2513305807036713
OpenBookQA,1,IRT,0.0957896363638771,0.05296080373129746,0.042828832632579646
OpenBookQA,2,IRT,0.0491811652755551,0.05296080373129746,-0.0037796384557423623
OpenBookQA,0,GP-IRT,0.0250295836212514,0.01555752080058234,0.009472062820669059
OpenBookQA,1,GP-IRT,0.0171976653853439,0.01555752080058234,0.00164014458476156
OpenBookQA,2,GP-IRT,0.021423800223751,0.01555752080058234,0.00586627942316866
OpenBookQA,0,P-IRT,0.2657805348355172,0.04202910902650169,0.22375142580901553
OpenBookQA,1,P-IRT,0.0774769945848027,0.04202910902650169,0.03544788555830101
OpenBookQA,2,P-IRT,0.0409850678178574,0.04202910902650169,-0.0010440412086442918
MedQA,0,Anchor-only,0.0291711605028238,0.03622964110038263,-0.007058480597558831
MedQA,1,Anchor-only,0.0348610858079795,0.03622964110038263,-0.00136855529240313
MedQA,2,Anchor-only,0.0288430497358353,0.03622964110038263,-0.007386591364547331
MedQA,0,IRT,0.0271126624355048,0.05070112779468436,-0.023588465359179557
MedQA,1,IRT,0.063417587477606,0.05070112779468436,0.012716459682921635
MedQA,2,IRT,0.0835920059929014,0.05070112779468436,0.03289087819821704
MedQA,0,GP-IRT,0.0285848740617527,0.03502565579067101,-0.006440781728918311
MedQA,1,GP-IRT,0.0341613156698676,0.03502565579067101,-0.000864340120803414
MedQA,2,GP-IRT,0.0265881687846432,0.03502565579067101,-0.00843748700602781
MedQA,0,P-IRT,0.0280142563223502,0.047565060135910935,-0.019550803813560735
MedQA,1,P-IRT,0.0531932242240153,0.047565060135910935,0.005628164088104362
MedQA,2,P-IRT,0.0739626709830552,0.047565060135910935,0.026397610847144266
WMT-14 Translat,0,Anchor-only,0.0774064046535825,0.08646392972702971,-0.009057525073447203
WMT-14 Translat,1,Anchor-only,0.0893132767905992,0.08646392972702971,0.002849347063569485
WMT-14 Translat,2,Anchor-only,0.0741666383043196,0.08646392972702971,-0.012297291422710105
WMT-14 Translat,0,IRT,0.1020389949220641,0.14225410155029966,-0.04021510662823556
WMT-14 Translat,1,IRT,0.12878187791153,0.14225410155029966,-0.013472223638769654
WMT-14 Translat,2,IRT,0.3305022475698972,0.14225410155029966,0.18824814601959755
WMT-14 Translat,0,GP-IRT,0.0775459544716865,0.08658654905802522,-0.009040594586338727
WMT-14 Translat,1,GP-IRT,0.0894236706418292,0.08658654905802522,0.0028371215838039754
WMT-14 Translat,2,GP-IRT,0.0756482862881122,0.08658654905802522,-0.010938262769913026
WMT-14 Translat,0,P-IRT,0.0997530589013249,0.13977269114759822,-0.04001963224627332
WMT-14 Translat,1,P-IRT,0.1258019865245601,0.13977269114759822,-0.013970704623038122
WMT-14 Translat,2,P-IRT,0.3267897656203755,0.13977269114759822,0.18701707447277727
